,loss,dice,dice_coef,dicePerClass,accuracy,iou_coef
0,0.061296217143535614,0.9632055759429932,0.9632058143615723,0.5718568563461304,0.9770431518554688,0.929374098777771
1,0.12263361364603043,0.9365701675415039,0.936570405960083,0.5564642548561096,0.9616317749023438,0.8808162212371826
2,0.09716646373271942,0.9529382586479187,0.952938437461853,0.5374133586883545,0.96923828125,0.9109498262405396
3,0.05801708623766899,0.9575451016426086,0.957545280456543,0.5182729363441467,0.986785888671875,0.9194601774215698
4,0.03644127398729324,0.9766250252723694,0.9766251444816589,0.5226657390594482,0.9933395385742188,0.9543232917785645
5,0.028794854879379272,0.9764961004257202,0.9764961004257202,0.5065512657165527,0.997100830078125,0.954072117805481
6,0.045739270746707916,0.9707968235015869,0.9707969427108765,0.5147762894630432,0.99072265625,0.9434148073196411
7,0.10066923499107361,0.9537923336029053,0.9537925124168396,0.5553947687149048,0.965301513671875,0.9136627912521362
8,0.0154656283557415,0.9871907830238342,0.987190842628479,0.4997338056564331,0.9993209838867188,0.9747554063796997
9,0.024938205257058144,0.9848983287811279,0.9848983287811279,0.5022858381271362,0.9968109130859375,0.9702625274658203
10,0.26956623792648315,0.937601625919342,0.9376019239425659,0.5012691020965576,0.9447174072265625,0.8838540315628052
11,0.022792628034949303,0.9881563782691956,0.9881563186645508,0.5232236385345459,0.9951400756835938,0.9765900373458862
12,0.09786311537027359,0.974101185798645,0.974101185798645,0.4992750287055969,0.9842605590820312,0.9498105049133301
13,0.02833867259323597,0.9846742749214172,0.984674334526062,0.5222233533859253,0.9946212768554688,0.969812273979187
14,0.020289640873670578,0.9877088665962219,0.9877088665962219,0.5045774579048157,0.9972686767578125,0.975722074508667
15,0.24618203938007355,0.9485273361206055,0.9485275745391846,0.4933266043663025,0.956573486328125,0.9050964117050171
16,0.03357156738638878,0.9805639386177063,0.9805641174316406,0.5398679375648499,0.9919509887695312,0.9620921611785889
17,0.10298054665327072,0.9647191762924194,0.964719295501709,0.5106526613235474,0.9738998413085938,0.9333726167678833
18,0.09013520926237106,0.9613512754440308,0.9613513946533203,0.5428470373153687,0.9730987548828125,0.9271061420440674
19,0.01787383481860161,0.9869707226753235,0.9869706630706787,0.5005662441253662,0.9985504150390625,0.9742826223373413
20,0.42726707458496094,0.9167908430099487,0.9167912006378174,0.48299431800842285,0.9331512451171875,0.8507096767425537
21,0.06600399315357208,0.9686923027038574,0.9686925411224365,0.5278025269508362,0.9805679321289062,0.9404552578926086
22,0.026614751666784286,0.9809278249740601,0.9809278249740601,0.5108686685562134,0.9962234497070312,0.9626061916351318
23,0.021502338349819183,0.9821880459785461,0.9821881055831909,0.49961572885513306,0.9983596801757812,0.9650835990905762
24,0.027684561908245087,0.9784186482429504,0.9784188270568848,0.5048239231109619,0.9961471557617188,0.9579755067825317
25,0.02799636498093605,0.9801804423332214,0.9801805019378662,0.5263129472732544,0.9949264526367188,0.9612241387367249
26,0.10074467957019806,0.9664739370346069,0.9664739966392517,0.5091593265533447,0.9788970947265625,0.9362303018569946
27,0.5312632322311401,0.8557528853416443,0.8557535409927368,0.4955122470855713,0.859771728515625,0.7484458684921265
28,0.01810675486922264,0.984742283821106,0.9847423434257507,0.49739503860473633,0.9990921020507812,0.9699435830116272
29,0.020944995805621147,0.9811692833900452,0.9811693429946899,0.5034250020980835,0.99871826171875,0.9631224274635315
30,0.15390357375144958,0.9433796405792236,0.943379819393158,0.5300251841545105,0.9584808349609375,0.8947049379348755
31,0.0364779531955719,0.9705444574356079,0.9705445170402527,0.5939654111862183,0.9915924072265625,0.9429327249526978
32,0.03623751178383827,0.9753755331039429,0.9753756523132324,0.5077812075614929,0.9949874877929688,0.9520039558410645
33,0.07476647198200226,0.9556016325950623,0.955601692199707,0.5174642205238342,0.9830169677734375,0.9151995182037354
34,0.07942995429039001,0.9545731544494629,0.9545732736587524,0.557664155960083,0.976531982421875,0.9130949974060059
35,0.17641818523406982,0.9221132397651672,0.9221135377883911,0.5230566263198853,0.9423980712890625,0.8590980768203735
36,0.05868058651685715,0.9627041816711426,0.9627043008804321,0.49105846881866455,0.9879379272460938,0.9281854033470154
37,0.10820333659648895,0.9469130635261536,0.9469133019447327,0.5399008989334106,0.96734619140625,0.8996545672416687
38,0.2424873560667038,0.9189565777778625,0.9189568758010864,0.523391604423523,0.93505859375,0.8520689606666565
39,0.21378129720687866,0.9204326868057251,0.9204330444335938,0.5530151128768921,0.9387130737304688,0.8551595211029053
40,0.14387482404708862,0.9390018582344055,0.9390020370483398,0.5324091911315918,0.9526443481445312,0.8869924545288086
41,0.0816546082496643,0.9554226994514465,0.9554228782653809,0.5826380252838135,0.9744949340820312,0.9152659177780151
42,0.2216157615184784,0.9094545245170593,0.9094548225402832,0.5796269774436951,0.9220809936523438,0.8365460634231567
43,0.0318424366414547,0.9718345999717712,0.971834659576416,0.5045710206031799,0.9973831176757812,0.9453197717666626
44,0.05766192823648453,0.9551405310630798,0.9551407098770142,0.5445879697799683,0.9884796142578125,0.915041446685791
45,0.04487069696187973,0.9623737931251526,0.9623739719390869,0.4986274242401123,0.9948654174804688,0.9284133911132812
46,0.22481971979141235,0.9089182615280151,0.9089186191558838,0.5116384625434875,0.9318695068359375,0.8359031677246094
47,0.2697310447692871,0.906017541885376,0.9060179591178894,0.5061690211296082,0.9320755004882812,0.8335232734680176
48,0.2668154239654541,0.9084563255310059,0.9084567427635193,0.5346838235855103,0.93011474609375,0.8371712565422058
49,0.25468742847442627,0.9109309911727905,0.9109313488006592,0.5251537561416626,0.942657470703125,0.8376832008361816
50,0.07928510010242462,0.9537214636802673,0.9537216424942017,0.5005120038986206,0.9857406616210938,0.9115553498268127
51,0.06197468936443329,0.9539570808410645,0.9539572596549988,0.5590622425079346,0.9866943359375,0.9132440686225891
52,0.0414726585149765,0.9647259712219238,0.9647260904312134,0.5021461844444275,0.9951629638671875,0.9319473505020142
53,0.08001735061407089,0.9437664747238159,0.9437666535377502,0.5848064422607422,0.97314453125,0.8946340084075928
54,0.10587787628173828,0.9384216070175171,0.9384219646453857,0.5758001208305359,0.9645538330078125,0.8851447105407715
