,loss,dice,iou_coef
0,0.006921672262251377,0.9959033131599426,0.9918797016143799
1,0.0070579820312559605,0.9958549737930298,0.9917867183685303
2,0.007712497375905514,0.9954785704612732,0.9910513162612915
3,0.0077408854849636555,0.9954606890678406,0.9910181164741516
4,0.010337825864553452,0.9942599534988403,0.9887198805809021
5,0.007460621185600758,0.9955795407295227,0.9912489056587219
6,0.00680581945925951,0.9959771037101746,0.9920249581336975
7,0.006607195362448692,0.9960763454437256,0.9922207593917847
8,0.006512887310236692,0.9961387515068054,0.9923430681228638
9,0.006380017846822739,0.9961870312690735,0.9924373626708984
